Index,Code,Days,BuyHold,PE_Q,PE_Alpha,Momentum,Mom_Alpha,MaxDD,Volatility,Sharpe
SH180,000001.SH,8683,0.11104564513150272,,,0.20268663830565226,0.09164099317414953,-0.7827201624132951,0.3609305369682617,0.21069329785800242
SZ Value,000300.SH,5950,0.05372386809844909,0.054241238340501985,0.0005173702420528947,0.0630185179204672,0.009294649822018108,-0.7230384458454895,0.24658049857700723,0.07593409943812574
SZ Growth,000016.SH,5472,0.04848886144339204,0.04519455534273953,-0.003294306100652511,0.06830260274452038,0.01981374130112834,-0.7240589573665641,0.2492966046906558,0.054107682132814985
SZ100,000010.SH,7286,0.0559032675334199,,,0.0802165293708419,0.024313261837421996,-0.7228433289546627,0.25499775514924744,0.08197431981777815
SZ Div,000903.SH,5713,0.06869981750012544,,,0.08979358047893671,0.02109376297881127,-0.7172471137777517,0.24638172272032724,0.13677888573893432
ChiNext,000906.SH,5229,0.08189082171506668,,,0.08448941648064379,0.0025985947655771113,-0.717561840647344,0.25436235076096214,0.18434654961626956
SME,000925.SH,2418,0.06789516616710167,,,0.10046459915943218,0.032569432992330505,-0.5511217934589936,0.23689352291881055,0.13886055541660242
Fund50,399001.SZ,8591,0.08019708269612869,,,0.17459333146567646,0.09439624876954777,-0.7191623637406771,0.32479768126022057,0.13915457315077875
CSI800,399324.SZ,4973,0.09864453005746876,0.045289145720401436,-0.053355384337067324,0.09384741134906749,-0.004797118708401271,-0.7031166301997067,0.27368165476377737,0.23254949299543737
CSI500,399348.SZ,4055,0.027006445379874622,,,0.017634181256626302,-0.00937226412324832,-0.44888281356181775,0.2335038749342866,-0.03423307053201988
CSI100,399346.SZ,4055,0.012437812224384226,,,0.020162276564706483,0.007724464340322257,-0.6374211516560692,0.2571893831881725,-0.08772596868474995
CSI300,159915.SZ,3915,0.08443369388596822,,,0.08336823202722177,-0.0010654618587464526,-0.697399536091522,0.3084895366213073,0.16024431307260698
SH180v2,159902.SZ,4385,0.05008799781622053,,,0.03245075270842701,-0.01763724510779352,-0.6175488391633572,0.2652463019450236,0.056882971432897673
SH50,512500.SH,5229,0.10277121096272368,0.0775482969343555,-0.025222914028368182,0.11988866155449474,0.017117450591771055,-0.7241715460003558,0.28836405218256833,0.23501962345783842
SZ Comp,000015.SH,5229,0.056343808373838344,,,0.08639103026831307,0.03004722189447473,-0.7434099938288851,0.2519273324227112,0.08472208302521685
SH Comp,161227.SZ,4973,0.09820872693111693,,,0.08311211325408463,-0.0150966136770323,-0.7155999857082358,0.27716868694731756,0.2280514715687607
